vcpus,memory,images,start_time,app_init,lib_init,anonymization,lib_anony,total_time
2,64,90,0,9.511914579,117.946537216,29.696838912,147.643376128,157.155290707
2,64,90,0,9.354429436,121.135499008,29.530699008,150.666198016,160.020627452
2,64,90,0,9.395518829,122.683726848,29.204784128,151.888510976,161.284029805
2,64,90,0,9.610554727,122.681127936,28.949289216,151.630417152,161.240971879
2,64,90,0,9.551535232,121.824228864,29.39183104,151.216059904,160.767595136
2,64,90,0,9.276090787,115.568637184,28.852945664,144.421582848,153.697673635
2,64,90,0,9.438602945,125.425789952,28.388125952,153.813915904,163.252518849
2,64,90,0,8.916081868,124.445021952,29.035260928,153.48028288,162.396364748
2,64,90,0,9.442489846,131.596434176,28.843266048,160.439700224,169.88219007
2,64,90,0,11.528827293,111.694270976,28.439480064,140.13375104,151.662578333
2,64,10,0,7.206793668,54.600237312,10.111917056,64.712154368,71.918948036
2,64,10,0,9.542962255,133.792216832,5.525498112,139.317714944,148.860677199
2,64,10,0,8.581987275,147.189896192,6.041272832,153.231169024,161.813156299
2,64,10,0,9.30154848,130.371609856,5.486921984,135.85853184,145.16008032
2,64,10,0,9.192825498,132.389424896,5.691412992,138.080837888,147.273663386
2,64,10,0,8.914780036,133.162122752,5.652478976,138.814601728,147.729381764
2,64,10,0,9.030811276,128.670027776,5.793071104,134.46309888,143.493910156
2,64,10,0,8.922970862,123.65952384,5.39467392,129.05419776,137.977168622
2,64,10,0,8.769334448,130.262800896,5.553385984,135.81618688,144.585521328
2,64,10,0,9.107990529,120.132486144,5.606919936,125.73940608,134.847396609
2,64,10,0,8.97430429,132.01430016,5.569954816,137.584254976,146.558559266
2,64,10,0,9.347548428,134.53605888,5.537278976,140.073337856,149.420886284
2,64,10,0,8.927804103,132.628851968,5.653057792,138.28190976,147.209713863
2,64,10,0,8.701221612,131.004916992,5.714118912,136.719035904,145.420257516
2,64,10,0,9.39614081,127.212507136,5.844952832,133.057459968,142.453600778
2,64,10,0,9.040417294,132.69776,5.500054016,138.197814016,147.23823131
2,64,10,0,11.78997809,139.127910912,5.606059264,144.733970176,156.523948266
2,64,10,0,9.120379114,134.165965056,5.694733824,139.86069888,148.981077994
2,64,10,0,9.48813593,124.331352064,5.611719936,129.943072,139.43120793
2,64,10,0,11.271268572,121.935580928,5.709181952,127.64476288,138.916031452
2,64,10,0,9.029314343,136.36454016,5.803713792,142.168253952,151.197568295
2,64,10,0,9.207161245,135.73014784,5.75749504,141.48764288,150.694804125
2,64,10,0,8.995758981,133.4908032,5.74238208,139.23318528,148.228944261
2,64,10,0,8.897355902,133.01781376,5.577544448,138.595358208,147.49271411
2,64,10,0,9.105661636,133.709082112,5.894594816,139.603676928,148.709338564
2,64,10,0,9.294976247,133.962150656,5.611285248,139.573435904,148.868412151
2,64,10,0,9.619056635,133.565140992,5.62534016,139.190481152,148.809537787
2,64,10,0,9.51941033,137.354176,5.768413184,143.122589184,152.641999514
2,64,10,0,9.610293463,136.639153152,5.734035968,142.37318912,151.983482583
2,64,10,0,8.852837682,132.512871936,5.584306944,138.09717888,146.950016562
4,64,120,0,10.076401769,110.717513984,39.67188096,150.389394944,160.465796713
4,64,120,0,10.221724658,108.885692928,38.740508928,147.626201856,157.847926514
4,64,120,0,10.005295046,113.045346048,37.796339968,150.841686016,160.846981062
4,64,120,0,10.161314843,109.147309056,37.156839936,146.304148992,156.465463835
4,64,120,0,10.143858788,110.89932288,40.622784256,151.522107136,161.665965924
